Experiment,accuracy_mean,sensitivity_mean,specificity_mean,precision_mean,f1_mean,auc_mean,kappa_mean,threshold_mean,accuracy_std,sensitivity_std,specificity_std,precision_std,f1_std,auc_std,kappa_std,threshold_std
ABCD_vs_E,0.9825217391304347,0.9708695652173912,0.98543478260334,0.9441894058333373,0.9572012412633579,0.9952166824196598,0.9462278125940816,0.4215098559856415,0.009467484899452474,0.01218943110337061,0.009031555685968716,0.0327277870905623,0.02246130486097106,0.0022475610587870437,0.02844231456147718,0.10250485329826507
A_vs_E,0.9947826086956522,0.9917391304347826,0.9978260869348299,0.9978118161925602,0.994764105990415,0.9992930056710776,0.9895652173913042,0.4818210691213608,0.004682752006203897,0.005395510280865607,0.004347826086861994,0.004376367614879628,0.004698912928608022,0.0012979989866517638,0.009365504012407823,0.20996647425564766
B_vs_E,0.996304347826087,0.9943478260869565,0.9982608695435161,0.9982532751091704,0.9962960576777651,0.9997032136105861,0.9926086956521738,0.5190602481365204,0.0028008910275489018,0.0032536151189338793,0.002535196475964567,0.0025462672029891976,0.0028073246686671403,0.0005402377295225606,0.005601782055097888,0.13795109334397504
C_vs_E,0.9913043478260869,0.986086956521739,0.9965217391087713,0.9964718724983627,0.9912491617307408,0.9991540642722118,0.9826086956521738,0.4820390999317169,0.006448868249648418,0.007969696860792746,0.005070392951929139,0.005148083562200949,0.006502422233677141,0.001095165027426577,0.012897736499296795,0.16565922041572465
D_vs_E,0.9680434782608696,0.9582608695652173,0.9778260869352646,0.9772699062872053,0.96759403236906,0.993359168241966,0.9360869565217392,0.4467362105846405,0.016349213632141882,0.024494897427831765,0.009465887415914758,0.009925149360076567,0.016863628325857895,0.005265871408984745,0.03269842726428377,0.13012137412651098
AB_vs_E,0.9966666666666667,0.9943478260869565,0.9978260869456758,0.9956540354608381,0.9949988074664633,0.9995609640831757,0.9924991097497798,0.4598049998283386,0.0024077170617153756,0.0032536151189338793,0.002173913043454601,0.004334612000350354,0.003605895199990406,0.0007727694293021515,0.005413099747056276,0.1616346514415777
CD_vs_E,0.9723188405797101,0.9691304347826086,0.9739130434676749,0.9495183529047246,0.9589747666840165,0.99506190926276,0.9380979446227166,0.41593137383461,0.012206650254635102,0.021494273207492635,0.013851767236435513,0.024899390987844012,0.017798340439597805,0.0033749811979347545,0.02706250883198074,0.14844538038197752
